User,Position,Name,Artist,Length,Year,Popularity,Top popularity,Album name,Album year,Artist location,Artist lat,Artist lon,Artist discovery,Artist familiarity,Artist hotttnesss,Song discovery,Song hotttnesss,Acousticness,Danceability,Energy,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time signature,Valence
johnwards,0,Tender,Blur,460.733,1999,0.47000,0.6,13 [Special Edition],2012,London,51.5072648,-0.1278328,0.404940910855,0.760316,0.77357,0.010490962893,0.505511,0.649695,0.595987,0.556261,2,0.341042,-8.37,1,0.02651,152.089,4,0.543898
johnwards,1,Cowboys From Hell,Pantera,247.173,1990,0.43000,0.67,1990-2000: A Decade Of Domination,2010,"Arlington, TX, US",32.7356,-97.1077,0.336093902995,0.782911,0.679378,0.0,0.217402,0.053282,0.39672,0.85601,11,0.960151,-15.917,1,0.076572,111.012,4,0.219962
johnwards,2,It's Tricky,RUN-DMC,183.626,1986,0.68000,0.68,Greatest Hits,2002,"Queens, New York, NY, US",40.7038,-73.8317,0.356826347122,0.742058,0.653296,0.00554452349342,0.538394,0.003433,0.962495,0.927077,11,0.08296,-4.858,0,0.163786,128.12,4,0.92202
johnwards,3,Jackson,Johnny Cash,164.733,1967,0.54000,0.63,The Essential Johnny Cash,2013,"Kingsland, AR, US",33.8588,-92.2962,0.356817940341,0.832319,0.832879,0.00298185079247,0.458104,0.592543,0.458682,0.761829,0,0.796011,-7.141,1,0.04664,136.687,4,0.559386
johnwards,4,Loch Lomond - Live,Runrig,384.266,1988,0.48000,0.48,Alba - The Best Of Runrig,1992,"Portree, Scotland, GB",57.4152,-6.20009,0.442700630835,0.511838,0.540947,0.00478594796264,0.266983,0.001223,0.250928,0.798105,7,0.384994,-8.811,1,0.094126,139.383,4,0.240973
johnwards,5,Insomnia,Faithless,523.493,1990,0.63000,0.63,Insomnia - The Best Of,2009,"London, England, GB",51.5063,-0.12714,0.399310014174,0.676633,0.638895,0.0044495531228,0.529924,0.018571,0.716194,0.834546,7,0.15296,-7.327,1,0.029421,127.111,4,0.377154
johnwards,6,Three MC's and One DJ,Beastie Boys,170.333,1998,0.33000,0.45,Hello Nasty,1998,"New York, NY, US",40.7146,-74.0071,0.351070353591,0.787549,0.718373,0.00194679943333,0.389583,0.072533,0.801062,0.853614,10,0.057902,-9.381,0,0.342389,103.313,4,0.896671
johnwards,7,Spitfire (Live),The Prodigy,251.666,2005,0.31000,0.31,Their Law The Singles 1990 - 2005,2005,"Braintree, England, GB",51.8812,0.55549,0.368282144014,0.771206,0.722539,0.00103477596325,0.239509,0.000915,0.520221,0.948789,7,0.39757,-5.907,0,0.091373,122.541,4,0.236444
johnwards,8,Pretend Best Friend,Terrorvision,227.415,1994,0.29000,0.29,How To Make Friends And Influence People,1994,"Keighley, England, GB",53.8647,-1.92188,0.426152578851,0.489821,0.504432,0.0,0.240731,0.00015,0.252546,0.886877,8,0.319746,-11.481,0,0.081282,138.866,4,0.392241
johnwards,9,Accident,Doomtree,219.386,2008,0.28000,0.28,Doomtree,2008,"Minneapolis, MN, US",44.979,-93.2649,0.485510392926,0.487398,0.572707,0.00197033200677,0.130012,0.136021,0.487453,0.952466,1,0.29206,-3.668,1,0.337468,130.734,5,0.737124
johnwards,10,Dixon's Girl,Dessa,163.28,2010,0.42000,0.42,A Badly Broken Code,2010,"Minneapolis, MN, US",44.979,-93.2649,0.492741065635,0.492622,0.585596,0.0123367553111,0.263702,0.621283,0.451744,0.596501,1,0.21744,-8.213,0,0.254549,209.589,3,0.871822
johnwards,11,Bumper,P.O.S,179.346,2012,0.30000,0.4,We Don't Even Live Here,2012,"Minneapolis, MN, US ",44.98,-93.2636111,0.4450427211,0.558241,0.582882,0.0785709850146,0.23701,0.178404,0.284698,0.725755,11,0.155563,-6.789,1,0.070954,76.907,4,0.037703
